Train split size,accuracy,precision,recall,f1
0.05,0.6833333333333333,0.7815570794189552,0.6833333333333333,0.6958475421821473
0.1,0.7569444444444444,0.8151779161192331,0.7569444444444444,0.7631258191458585
0.15000000000000002,0.8111111111111111,0.8522699504246879,0.8111111111111111,0.8172904101550401
0.2,0.8,0.8432748794303139,0.8,0.8085183430091281
0.25,0.7805555555555556,0.8323888194854095,0.7805555555555556,0.784589256120282
0.3,0.7930555555555555,0.8427076019226327,0.7930555555555555,0.8006792448362398
0.35000000000000003,0.8402777777777778,0.8660670613412176,0.8402777777777778,0.842528120883334
0.4,0.8333333333333334,0.8710228700070546,0.8333333333333334,0.8357765145621533
0.45,0.8027777777777778,0.8454158116795161,0.8027777777777778,0.8096338841402004
0.5,0.7861111111111111,0.8343877755015989,0.7861111111111111,0.7820341875958869
0.55,0.8458333333333333,0.8726505476317334,0.8458333333333333,0.8478796875716831
0.6000000000000001,0.8513888888888889,0.8765606258514806,0.8513888888888889,0.8503979223430559
0.6500000000000001,0.8236111111111111,0.8743390711043105,0.8236111111111111,0.8235460155543046
0.7000000000000001,0.8625,0.8808709320346998,0.8625,0.8622594623897594
0.7500000000000001,0.8319444444444445,0.8643466521124299,0.8319444444444445,0.8342967707630419
0.8,0.85,0.8847403663282378,0.85,0.8546847127847704
